"AAAAAA.SPC"
WL/nm,Abs
300.00,0.080
299.00,0.081
298.00,0.083
297.00,0.085
296.00,0.088
295.00,0.091
294.00,0.094
293.00,0.098
292.00,0.101
291.00,0.104
290.00,0.108
289.00,0.111
288.00,0.114
287.00,0.118
286.00,0.123
285.00,0.129
284.00,0.134
283.00,0.139
282.00,0.143
281.00,0.148
280.00,0.153
279.00,0.158
278.00,0.163
277.00,0.168
276.00,0.174
275.00,0.179
274.00,0.184
273.00,0.189
272.00,0.194
271.00,0.198
270.00,0.202
269.00,0.207
268.00,0.212
267.00,0.215
266.00,0.218
265.00,0.222
264.00,0.225
263.00,0.228
262.00,0.231
261.00,0.234
260.00,0.237
259.00,0.241
258.00,0.244
257.00,0.249
256.00,0.252
255.00,0.258
254.00,0.262
253.00,0.269
252.00,0.276
251.00,0.317
250.00,0.226
