"IGOR.SPC"
WL/nm,Abs
300.00,0.332
299.00,0.344
298.00,0.360
297.00,0.377
296.00,0.395
295.00,0.414
294.00,0.434
293.00,0.456
292.00,0.478
291.00,0.498
290.00,0.516
289.00,0.532
288.00,0.550
287.00,0.569
286.00,0.588
285.00,0.608
284.00,0.627
283.00,0.644
282.00,0.659
281.00,0.676
280.00,0.691
279.00,0.707
278.00,0.723
277.00,0.738
276.00,0.752
275.00,0.765
274.00,0.777
273.00,0.787
272.00,0.798
271.00,0.808
270.00,0.818
269.00,0.826
268.00,0.832
267.00,0.837
266.00,0.841
265.00,0.847
264.00,0.848
263.00,0.850
262.00,0.850
261.00,0.851
260.00,0.854
259.00,0.853
258.00,0.855
257.00,0.855
256.00,0.855
255.00,0.851
254.00,0.846
253.00,0.859
252.00,0.770
251.00,0.706
250.00,0.769
