"KATYA.SPC"
WL/nm,Abs
300.00,0.273
299.00,0.278
298.00,0.285
297.00,0.293
296.00,0.301
295.00,0.309
294.00,0.319
293.00,0.330
292.00,0.340
291.00,0.352
290.00,0.362
289.00,0.374
288.00,0.386
287.00,0.400
286.00,0.415
285.00,0.431
284.00,0.448
283.00,0.465
282.00,0.483
281.00,0.503
280.00,0.522
279.00,0.543
278.00,0.564
277.00,0.585
276.00,0.606
275.00,0.627
274.00,0.647
273.00,0.667
272.00,0.688
271.00,0.706
270.00,0.727
269.00,0.745
268.00,0.763
267.00,0.778
266.00,0.792
265.00,0.805
264.00,0.817
263.00,0.826
262.00,0.836
261.00,0.846
260.00,0.857
259.00,0.863
258.00,0.866
257.00,0.875
256.00,0.873
255.00,0.868
254.00,0.881
253.00,0.828
252.00,0.764
251.00,1.079
250.00,0.901
