"OSP.SPC"
WL/nm,Abs
300.00,0.097
299.00,0.099
298.00,0.102
297.00,0.105
296.00,0.109
295.00,0.113
294.00,0.118
293.00,0.124
292.00,0.130
291.00,0.135
290.00,0.140
289.00,0.145
288.00,0.151
287.00,0.158
286.00,0.165
285.00,0.174
284.00,0.183
283.00,0.190
282.00,0.199
281.00,0.207
280.00,0.215
279.00,0.225
278.00,0.234
277.00,0.243
276.00,0.252
275.00,0.260
274.00,0.268
273.00,0.275
272.00,0.283
271.00,0.290
270.00,0.297
269.00,0.304
268.00,0.310
267.00,0.316
266.00,0.321
265.00,0.326
264.00,0.330
263.00,0.335
262.00,0.338
261.00,0.342
260.00,0.346
259.00,0.351
258.00,0.356
257.00,0.357
256.00,0.362
255.00,0.366
254.00,0.372
253.00,0.373
252.00,0.372
251.00,0.419
250.00,0.959
