"SHULYA.SPC"
WL/nm,Abs
300.00,0.108
299.00,0.110
298.00,0.112
297.00,0.115
296.00,0.118
295.00,0.121
294.00,0.125
293.00,0.129
292.00,0.133
291.00,0.137
290.00,0.141
289.00,0.144
288.00,0.148
287.00,0.152
286.00,0.157
285.00,0.163
284.00,0.168
283.00,0.174
282.00,0.178
281.00,0.184
280.00,0.189
279.00,0.194
278.00,0.199
277.00,0.204
276.00,0.209
275.00,0.214
274.00,0.218
273.00,0.223
272.00,0.227
271.00,0.231
270.00,0.235
269.00,0.240
268.00,0.243
267.00,0.246
266.00,0.249
265.00,0.252
264.00,0.254
263.00,0.255
262.00,0.257
261.00,0.259
260.00,0.261
259.00,0.264
258.00,0.266
257.00,0.269
256.00,0.272
255.00,0.275
254.00,0.280
253.00,0.278
252.00,0.268
251.00,0.370
250.00,0.153
